Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       19     0.00     0.00  async::detail::compressed_ptr<3ul, true>::compressed_ptr(void*, unsigned long)
  0.00      0.00     0.00       18     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::operator->() const
  0.00      0.00     0.00       18     0.00     0.00  std::atomic<async::detail::compressed_ptr<3ul, true> >::compare_exchange_weak(async::detail::compressed_ptr<3ul, true>&, async::detail::compressed_ptr<3ul, true>, std::memory_order, std::memory_order)
  0.00      0.00     0.00       17     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::ref_count_ptr()
  0.00      0.00     0.00       17     0.00     0.00  std::thread::id::id()
  0.00      0.00     0.00       16     0.00     0.00  std::__atomic_base<unsigned long>::__atomic_base(unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  std::atomic<unsigned long>::atomic(unsigned long)
  0.00      0.00     0.00       15     0.00     0.00  async::detail::ref_count_base<async::detail::task_base, async::detail::task_base_deleter>::ref_count_base(unsigned long)
  0.00      0.00     0.00       15     0.00     0.00  void async::detail::continuation_vector::flush_and_lock<async::detail::task_base::run_continuations()::{lambda(async::detail::ref_count_ptr<async::detail::task_base>)#1}>(async::detail::task_base::run_continuations()::{lambda(async::detail::ref_count_ptr<async::detail::task_base>)#1}&&)
  0.00      0.00     0.00       15     0.00     0.00  async::detail::continuation_vector::continuation_vector()
  0.00      0.00     0.00       15     0.00     0.00  async::detail::task_base::run_continuations()
  0.00      0.00     0.00       15     0.00     0.00  async::detail::task_base::wait()
  0.00      0.00     0.00       15     0.00     0.00  async::detail::task_base::finish()
  0.00      0.00     0.00       15     0.00     0.00  async::detail::task_base::task_base()
  0.00      0.00     0.00       15     0.00     0.00  std::atomic<async::detail::task_state>::store(async::detail::task_state, std::memory_order)
  0.00      0.00     0.00       15     0.00     0.00  std::atomic<async::detail::task_state>::atomic(async::detail::task_state)
  0.00      0.00     0.00       15     0.00     0.00  std::atomic<async::detail::compressed_ptr<3ul, true> >::store(async::detail::compressed_ptr<3ul, true>, std::memory_order)
  0.00      0.00     0.00       14     0.00     0.00  async::task_run_handle::task_run_handle(async::detail::ref_count_ptr<async::detail::task_base>)
  0.00      0.00     0.00       14     0.00     0.00  async::task_run_handle::~task_run_handle()
  0.00      0.00     0.00       14     0.00     0.00  async::task<void>::~task()
  0.00      0.00     0.00       14     0.00     0.00  async::detail::basic_task<void>::~basic_task()
  0.00      0.00     0.00       14     0.00     0.00  async::detail::compressed_ptr<3ul, true>::set_flags(unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  async::detail::ref_count_base<async::detail::task_base, async::detail::task_base_deleter>::add_ref_unlocked()
  0.00      0.00     0.00       14     0.00     0.00  async::detail::continuation_vector::~continuation_vector()
  0.00      0.00     0.00       14     0.00     0.00  async::detail::task_base::~task_base()
  0.00      0.00     0.00       13     0.00     0.00  std::iterator_traits<async::int_range<int>::iterator>::iterator_category std::__iterator_category<async::int_range<int>::iterator>(async::int_range<int>::iterator const&)
  0.00      0.00     0.00       13     0.00     0.00  async::task<int>&& std::forward<async::task<int> >(std::remove_reference<async::task<int> >::type&)
  0.00      0.00     0.00       12     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.00     0.00       12     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.00     0.00       12     0.00     0.00  void async::detail::schedule_task<async::threadpool_scheduler>(async::threadpool_scheduler&, async::detail::ref_count_ptr<async::detail::task_base>)
  0.00      0.00     0.00       12     0.00     0.00  async::detail::auto_partitioner_impl<async::int_range<int>::iterator>::end() const
  0.00      0.00     0.00       12     0.00     0.00  async::detail::auto_partitioner_impl<async::int_range<int>::iterator>::begin() const
  0.00      0.00     0.00       12     0.00     0.00  std::mutex::lock()
  0.00      0.00     0.00       12     0.00     0.00  std::mutex::unlock()
  0.00      0.00     0.00       12     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       11     0.00     0.00  async::task<int>::~task()
  0.00      0.00     0.00       11     0.00     0.00  async::detail::basic_task<int>::~basic_task()
  0.00      0.00     0.00       11     0.00     0.00  async::task<void>::internal_task_type* async::detail::get_internal_task<async::task<void> >(async::task<void> const&)
  0.00      0.00     0.00       11     0.00     0.00  async::detail::auto_partitioner_impl<int const*>::end() const
  0.00      0.00     0.00       11     0.00     0.00  async::detail::auto_partitioner_impl<int const*>::begin() const
  0.00      0.00     0.00       11     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00      0.00     0.00       10     0.00     0.00  async::task<void>::task()
  0.00      0.00     0.00       10     0.00     0.00  async::detail::basic_task<void>::basic_task()
  0.00      0.00     0.00       10     0.00     0.00  async::detail::ref_count_base<async::detail::task_base, async::detail::task_base_deleter>::remove_ref(unsigned long)
  0.00      0.00     0.00       10     0.00     0.00  std::remove_reference<async::task<int>&>::type&& std::move<async::task<int>&>(async::task<int>&)
  0.00      0.00     0.00       10     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00        9     0.00     0.00  async::detail::task_result<async::detail::fake_void>::task_result()
  0.00      0.00     0.00        9     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::operator=(async::detail::ref_count_ptr<async::detail::task_base>&&)
  0.00      0.00     0.00        9     0.00     0.00  async::detail::task_result_holder<async::detail::fake_void>::set_result(async::detail::fake_void)
  0.00      0.00     0.00        9     0.00     0.00  async::detail::task_result_holder<async::detail::fake_void>::task_result_holder()
  0.00      0.00     0.00        9     0.00     0.00  async::operator!=(async::int_range<int>::iterator, async::int_range<int>::iterator)
  0.00      0.00     0.00        9     0.00     0.00  async::task<void>&& std::forward<async::task<void> >(std::remove_reference<async::task<void> >::type&)
  0.00      0.00     0.00        9     0.00     0.00  std::iterator_traits<async::int_range<int>::iterator>::difference_type std::distance<async::int_range<int>::iterator>(async::int_range<int>::iterator, async::int_range<int>::iterator)
  0.00      0.00     0.00        9     0.00     0.00  async::detail::task_base::run_continuations()::{lambda(async::detail::ref_count_ptr<async::detail::task_base>)#1}::operator()(async::detail::ref_count_ptr<async::detail::task_base>) const
  0.00      0.00     0.00        8     0.00     0.00  async::detail::func_holder<async::detail::root_exec_func<async::threadpool_scheduler, async::detail::fake_void, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}, false>, void>::get_func()
  0.00      0.00     0.00        8     0.00     0.00  async::detail::task_result<async::detail::fake_void>::~task_result()
  0.00      0.00     0.00        8     0.00     0.00  async::detail::task_result_holder<async::detail::fake_void>::~task_result_holder()
  0.00      0.00     0.00        8     0.00     0.00  async::detail::auto_partitioner_impl<async::int_range<int>::iterator>::split()
  0.00      0.00     0.00        8     0.00     0.00  async::detail::auto_partitioner_impl<async::int_range<int>::iterator>::auto_partitioner_impl(async::int_range<int>::iterator, async::int_range<int>::iterator, unsigned long)
  0.00      0.00     0.00        8     0.00     0.00  async::detail::auto_partitioner_impl<int const*>::auto_partitioner_impl(int const*, int const*, unsigned long)
  0.00      0.00     0.00        8     0.00     0.00  async::operator==(async::int_range<int>::iterator, async::int_range<int>::iterator)
  0.00      0.00     0.00        8     0.00     0.00  async::operator-(async::int_range<int>::iterator, async::int_range<int>::iterator)
  0.00      0.00     0.00        8     0.00     0.00  std::_Head_base<0ul, async::detail::continuation_vector::vector_data*, false>::_M_head(std::_Head_base<0ul, async::detail::continuation_vector::vector_data*, false>&)
  0.00      0.00     0.00        8     0.00     0.00  std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >::_M_head(std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >&)
  0.00      0.00     0.00        8     0.00     0.00  std::__uniq_ptr_impl<async::detail::continuation_vector::vector_data, std::default_delete<async::detail::continuation_vector::vector_data> >::_M_ptr()
  0.00      0.00     0.00        8     0.00     0.00  std::iterator_traits<async::int_range<int>::iterator>::difference_type std::__distance<async::int_range<int>::iterator>(async::int_range<int>::iterator, async::int_range<int>::iterator, std::random_access_iterator_tag)
  0.00      0.00     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00      0.00     0.00        8     0.00     0.00  async::detail::continuation_vector::vector_data*& std::__get_helper<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >(std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >&)
  0.00      0.00     0.00        8     0.00     0.00  std::tuple_element<0ul, std::tuple<async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> > >::type& std::get<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >(std::tuple<async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >&)
  0.00      0.00     0.00        8     0.00     0.00  std::remove_reference<async::task<void>&>::type&& std::move<async::task<void>&>(async::task<void>&)
  0.00      0.00     0.00        8     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00        8     0.00     0.00  main::{lambda(std::tuple<async::task<void>, async::task<int> >)#4}&& std::forward<main::{lambda(std::tuple<async::task<void>, async::task<int> >)#4}>(std::remove_reference<main::{lambda(std::tuple<async::task<void>, async::task<int> >)#4}>::type&)
  0.00      0.00     0.00        8     0.00     0.00  main::{lambda(int)#3}&& std::forward<main::{lambda(int)#3}>(std::remove_reference<main::{lambda(int)#3}>::type&)
  0.00      0.00     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00      0.00     0.00        7     0.00     0.00  __gthread_self()
  0.00      0.00     0.00        7     0.00     0.00  async::default_scheduler()
  0.00      0.00     0.00        7     0.00     0.00  async::task<int>::internal_task_type* async::detail::get_internal_task<async::task<int> >(async::task<int> const&)
  0.00      0.00     0.00        7     0.00     0.00  async::detail::task_base_deleter::do_delete(async::detail::task_base*)
  0.00      0.00     0.00        7     0.00     0.00  async::detail::auto_partitioner_impl<int const*>::split()
  0.00      0.00     0.00        7     0.00     0.00  async::detail::task_base::operator delete(void*)
  0.00      0.00     0.00        7     0.00     0.00  async::detail::task_base::operator new(unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::this_thread::get_id()
  0.00      0.00     0.00        7     0.00     0.00  std::remove_reference<async::detail::auto_partitioner_impl<async::int_range<int>::iterator>&>::type&& std::move<async::detail::auto_partitioner_impl<async::int_range<int>::iterator>&>(async::detail::auto_partitioner_impl<async::int_range<int>::iterator>&)
  0.00      0.00     0.00        7     0.00     0.00  async::detail::when_all_func_tuple<0ul, async::task<void>, std::tuple<async::task<void>, async::task<int> > >&& std::forward<async::detail::when_all_func_tuple<0ul, async::task<void>, std::tuple<async::task<void>, async::task<int> > > >(std::remove_reference<async::detail::when_all_func_tuple<0ul, async::task<void>, std::tuple<async::task<void>, async::task<int> > > >::type&)
  0.00      0.00     0.00        7     0.00     0.00  async::detail::when_all_func_tuple<1ul, async::task<int>, std::tuple<async::task<void>, async::task<int> > >&& std::forward<async::detail::when_all_func_tuple<1ul, async::task<int>, std::tuple<async::task<void>, async::task<int> > > >(std::remove_reference<async::detail::when_all_func_tuple<1ul, async::task<int>, std::tuple<async::task<void>, async::task<int> > > >::type&)
  0.00      0.00     0.00        7     0.00     0.00  main::{lambda()#2}&& std::forward<main::{lambda()#2}>(std::remove_reference<main::{lambda()#2}>::type&)
  0.00      0.00     0.00        7     0.00     0.00  main::{lambda()#6}&& std::forward<main::{lambda()#6}>(std::remove_reference<main::{lambda()#6}>::type&)
  0.00      0.00     0.00        7     0.00     0.00  main::{lambda()#1}&& std::forward<main::{lambda()#1}>(std::remove_reference<main::{lambda()#1}>::type&)
  0.00      0.00     0.00        7     0.00     0.00  main::{lambda()#6}&& std::forward<void async::detail::parallel_invoke_internal<0ul, 2ul>::run<async::threadpool_scheduler, std::tuple<main::{lambda()#5}&&, main::{lambda()#6}&&> >(async::threadpool_scheduler&, std::tuple<main::{lambda()#5}&&, main::{lambda()#6}&&> const&)::{lambda()#1}>(std::remove_reference<main::{lambda()#6}&&>::type&)
  0.00      0.00     0.00        7     0.00     0.00  main::{lambda(int, int)#8}::operator()(int, int) const
  0.00      0.00     0.00        6     0.00     0.00  async::task<int>::task()
  0.00      0.00     0.00        6     0.00     0.00  async::detail::basic_task<int>::basic_task()
  0.00      0.00     0.00        6     0.00     0.00  async::detail::func_holder<async::detail::root_exec_func<async::threadpool_scheduler, int, int async::detail::internal_parallel_map_reduce<async::threadpool_scheduler, async::detail::auto_partitioner_impl<int const*>, int, async::detail::default_map, main::{lambda(int, int)#8}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<int const*>, main::{lambda(int, int)#8}, async::detail::default_map const&, main::{lambda(int, int)#8} const&)::{lambda()#1}, false>, void>::get_func()
  0.00      0.00     0.00        6     0.00     0.00  async::detail::ref_count_ptr<async::detail::when_all_state<std::tuple<async::task<void>, async::task<int> > > >::~ref_count_ptr()
  0.00      0.00     0.00        6     0.00     0.00  async::detail::fake_void_to_void(async::detail::fake_void)
  0.00      0.00     0.00        6     0.00     0.00  async::detail::fake_void async::detail::task_result_holder<async::detail::fake_void>::get_result<void>(async::task<void> const&)
  0.00      0.00     0.00        6     0.00     0.00  std::thread::id::id(unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  std::remove_reference<async::detail::auto_partitioner_impl<int const*>&>::type&& std::move<async::detail::auto_partitioner_impl<int const*>&>(async::detail::auto_partitioner_impl<int const*>&)
  0.00      0.00     0.00        6     0.00     0.00  main::{lambda()#5}&& std::forward<main::{lambda()#5}>(std::remove_reference<main::{lambda()#5}>::type&)
  0.00      0.00     0.00        6     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.00     0.00        6     0.00     0.00  std::operator!=(std::thread::id, std::thread::id)
  0.00      0.00     0.00        5     0.00     0.00  async::task<int>::task(async::task<int>&&)
  0.00      0.00     0.00        5     0.00     0.00  async::detail::basic_task<int>::basic_task(async::detail::basic_task<int>&&)
  0.00      0.00     0.00        5     0.00     0.00  async::detail::task_result<async::detail::fake_void>::wait_and_throw()
  0.00      0.00     0.00        5     0.00     0.00  async::detail::task_result<int>::task_result()
  0.00      0.00     0.00        5     0.00     0.00  async::detail::task_result<int>::~task_result()
  0.00      0.00     0.00        5     0.00     0.00  int&& async::detail::task_result_holder<int>::get_result<int>(async::task<int> const&)
  0.00      0.00     0.00        5     0.00     0.00  void async::detail::task_result_holder<int>::set_result<int>(int&&)
  0.00      0.00     0.00        5     0.00     0.00  async::detail::task_result_holder<int>::task_result_holder()
  0.00      0.00     0.00        5     0.00     0.00  async::detail::task_result_holder<int>::~task_result_holder()
  0.00      0.00     0.00        5     0.00     0.00  async::int_range<int>::iterator::operator++()
  0.00      0.00     0.00        4     0.00     0.00  _ZN5async10local_taskINS_20threadpool_schedulerEZNS_6detail21internal_parallel_forIS1_NS2_21auto_partitioner_implINS_9int_rangeIiE8iteratorEEEZ4mainEUliE5_EEvRT_T0_RKT1_EUlvE_EC1ERS1_OSG_
  0.00      0.00     0.00        4     0.00     0.00  async::local_task<main::{lambda(int)#7}, async::threadpool_scheduler&> async::local_spawn<async::threadpool_scheduler, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}>(async::threadpool_scheduler, async::threadpool_scheduler&)
  0.00      0.00     0.00        4     0.00     0.00  async::task<void>::task(async::task<void>&&)
  0.00      0.00     0.00        4     0.00     0.00  async::detail::basic_task<void>::basic_task(async::detail::basic_task<void>&&)
  0.00      0.00     0.00        4     0.00     0.00  async::detail::func_holder<async::detail::root_exec_func<async::threadpool_scheduler, async::detail::fake_void, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}, false>, void>::destroy_func()
  0.00      0.00     0.00        4     0.00     0.00  _ZN5async6detail11func_holderINS0_14root_exec_funcINS_20threadpool_schedulerENS0_9fake_voidEZNS0_21internal_parallel_forIS3_NS0_21auto_partitioner_implINS_9int_rangeIiE8iteratorEEEZ4mainEUliE5_EEvRT_T0_RKT1_EUlvE_Lb0EEEvE9init_funcIJSI_EEEvDpOT_
  0.00      0.00     0.00        4     0.00     0.00  async::detail::task_result<int>::wait_and_throw()
  0.00      0.00     0.00        4     0.00     0.00  async::detail::ref_count_ptr<async::detail::when_all_state<std::tuple<async::task<void>, async::task<int> > > >::ref_count_ptr(async::detail::ref_count_ptr<async::detail::when_all_state<std::tuple<async::task<void>, async::task<int> > > >&&)
  0.00      0.00     0.00        4     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::release()
  0.00      0.00     0.00        4     0.00     0.00  _ZN5async6detail14root_exec_funcINS_20threadpool_schedulerENS0_9fake_voidEZNS0_21internal_parallel_forIS2_NS0_21auto_partitioner_implINS_9int_rangeIiE8iteratorEEEZ4mainEUliE5_EEvRT_T0_RKT1_EUlvE_Lb0EEC1ISH_EEOSB_
  0.00      0.00     0.00        4     0.00     0.00  async::detail::root_exec_func<async::threadpool_scheduler, async::detail::fake_void, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}, false>::operator()(async::detail::task_base*)
  0.00      0.00     0.00        4     0.00     0.00  int async::detail::fake_void_to_void<int>(int&&)
  0.00      0.00     0.00        4     0.00     0.00  void async::detail::set_internal_task<async::task<void> >(async::task<void>&, async::detail::ref_count_ptr<async::detail::task_base>)
  0.00      0.00     0.00        4     0.00     0.00  async::detail::continuation_vector::try_add(async::detail::ref_count_ptr<async::detail::task_base>&&)
  0.00      0.00     0.00        4     0.00     0.00  void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)
  0.00      0.00     0.00        4     0.00     0.00  int async::detail::internal_parallel_map_reduce<async::threadpool_scheduler, async::detail::auto_partitioner_impl<int const*>, int, async::detail::default_map, main::{lambda(int, int)#8}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<int const*>, main::{lambda(int, int)#8}, async::detail::default_map const&, main::{lambda(int, int)#8} const&)
  0.00      0.00     0.00        4     0.00     0.00  _ZN5async6detail9func_baseIZNS0_21internal_parallel_forINS_20threadpool_schedulerENS0_21auto_partitioner_implINS_9int_rangeIiE8iteratorEEEZ4mainEUliE5_EEvRT_T0_RKT1_EUlvE_vEC2ISG_EEOSA_
  0.00      0.00     0.00        4     0.00     0.00  _ZN5async6detail9task_funcINS_20threadpool_schedulerENS0_14root_exec_funcIS2_NS0_9fake_voidEZNS0_21internal_parallel_forIS2_NS0_21auto_partitioner_implINS_9int_rangeIiE8iteratorEEEZ4mainEUliE5_EEvRT_T0_RKT1_EUlvE_Lb0EEES4_EC1IJSI_EEEDpOT_
  0.00      0.00     0.00        4     0.00     0.00  async::int_range<int>::iterator::iterator(int)
  0.00      0.00     0.00        4     0.00     0.00  async::int_range<int>::iterator::operator+=(long)
  0.00      0.00     0.00        4     0.00     0.00  int const& async::detail::default_map::operator()<int const&>(int const&) const
  0.00      0.00     0.00        4     0.00     0.00  async::int_range<int>::iterator::operator*() const
  0.00      0.00     0.00        4     0.00     0.00  std::unique_ptr<async::detail::continuation_vector::vector_data, std::default_delete<async::detail::continuation_vector::vector_data> >::get() const
  0.00      0.00     0.00        4     0.00     0.00  std::__uniq_ptr_impl<async::detail::continuation_vector::vector_data, std::default_delete<async::detail::continuation_vector::vector_data> >::_M_ptr() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Head_base<0ul, async::detail::continuation_vector::vector_data*, false>::_M_head(std::_Head_base<0ul, async::detail::continuation_vector::vector_data*, false> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Head_base<1ul, async::task<int>, false>::_M_head(std::_Head_base<1ul, async::task<int>, false>&)
  0.00      0.00     0.00        4     0.00     0.00  std::unique_ptr<async::detail::continuation_vector::vector_data, std::default_delete<async::detail::continuation_vector::vector_data> >::release()
  0.00      0.00     0.00        4     0.00     0.00  std::unique_ptr<async::detail::continuation_vector::vector_data, std::default_delete<async::detail::continuation_vector::vector_data> >::~unique_ptr()
  0.00      0.00     0.00        4     0.00     0.00  std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >::_M_head(std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Tuple_impl<1ul, async::task<int> >::_M_head(std::_Tuple_impl<1ul, async::task<int> >&)
  0.00      0.00     0.00        4     0.00     0.00  async::detail::continuation_vector::vector_data* const& std::__get_helper<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >(std::_Tuple_impl<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::tuple_element<0ul, std::tuple<async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> > >::type const& std::get<0ul, async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> >(std::tuple<async::detail::continuation_vector::vector_data*, std::default_delete<async::detail::continuation_vector::vector_data> > const&)
  0.00      0.00     0.00        4     0.00     0.00  void std::advance<async::int_range<int>::iterator, unsigned long>(async::int_range<int>::iterator&, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  async::task<std::tuple<async::task<void>, async::task<int> > >&& std::forward<async::task<std::tuple<async::task<void>, async::task<int> > > >(std::remove_reference<async::task<std::tuple<async::task<void>, async::task<int> > > >::type&)
  0.00      0.00     0.00        4     0.00     0.00  int&& std::forward<int&&>(std::remove_reference<int&&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  void std::__advance<async::int_range<int>::iterator, long>(async::int_range<int>::iterator&, long, std::random_access_iterator_tag)
  0.00      0.00     0.00        4     0.00     0.00  main::{lambda(int)#7}::operator()(int) const
  0.00      0.00     0.00        3     0.00     0.00  async::local_task<async::threadpool_scheduler, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}>::get()
  0.00      0.00     0.00        3     0.00     0.00  async::local_task<async::threadpool_scheduler, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}>::wait()
  0.00      0.00     0.00        3     0.00     0.00  async::local_task<async::threadpool_scheduler, void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}>::~local_task()
